iso_date	sequence	name	instrument	display_name
2017-09-09T19:30:00-04:00	1	Benjamin Krasner	piano	"Benjamin Krasner, piano"
2017-10-14T19:30:00-04:00	1	Amanda Ekery	vocalist	"Amanda Ekery, vocalist"
2017-10-14T19:30:00-04:00	2	Andrew Boudreau	piano	"Andrew Boudreau, piano"
2017-11-11T19:30:00-05:00	1	Seolyeong Jeong	piano	"Seolyeong Jeong, piano"
2017-12-09T19:30:00-05:00	1	Dongwon Lee	piano	"Dongwon Lee, piano"
2017-12-09T19:30:00-05:00	2	Jiyoung Choi	cello	"Jiyoung Choi, cello"
2018-01-13T19:30:00-05:00	1	Chengcheng Yao	piano	"Chengcheng Yao, piano"
2018-02-10T19:30:00-05:00	1	Sophiko Simsive	piano	"Sophiko Simsive, piano"
2018-03-10T19:30:00-05:00	1	Christine Wu	piano	"Christine Wu, piano"
2018-04-14T19:30:00-04:00	1	Amanda Ekery	voice	"Amanda Ekery, voice"
2018-04-14T19:30:00-04:00	2	Andrew Boudreau	piano	"Andrew Boudreau, piano"
2018-05-12T19:30:00-04:00	1	Robin Giesbrecht	piano	"Robin Giesbrecht, piano"
2018-06-15T19:30:00-04:00	1	Christopher Goodpasture	piano	"Christopher Goodpasture, piano"
2018-09-08T19:30:00-04:00	1	Chengcheng Yao	piano	"Chengcheng Yao, piano"
2018-09-08T19:30:00-04:00	2	Stefan Chaplikov	piano	"Stefan Chaplikov, piano"
2018-10-19T19:30:00-04:00	1	Mikael Eliasen	piano	"Mikael Eliasen, piano"
2018-10-19T19:30:00-04:00	2	Ashley Marie Robillard	soprano	"Ashley Marie Robillard, soprano"
2018-10-19T19:30:00-04:00	3	Dennis Chmelensky	baritone	"Dennis Chmelensky, baritone"
2018-11-10T19:30:00-05:00	1	Gabriele Strata	piano	"Gabriele Strata, piano"
2018-12-01T19:30:00-05:00	1	Reed Tetzloff	piano	"Reed Tetzloff, piano"
