date	day	time	location	presenter	performers
2022-07-13	Wed	8:00 pm	"Newport, RI"	Newport Classical	Dmitry Masleev
2022-07-16	Sat	8:00 pm	"Lennox, MA"	Tanglewood	BSO & guest artists
2022-07-20	Wed	7:30 pm	"Kingston, RI"	Kingston Chamber Music	Curtis on Tour
2022-07-22	Fri	8:00 pm	"Putney, VT"	Yellow Barn	festival artists
2022-07-23	Sat	8:00 pm	"West Marlboro, VT"	Marlboro Music	festival artists
2022-07-24	Sun	2:30 pm	"West Marlboro, VT"	Marlboro Music	festival artists
2022-07-30	Sat	8:00 pm	"Norfolk, CT"	Norfolk	festival artists
					
2022-09-30	Fri	1:30 pm		Boston Symphony	BSO & Yuja Wang
2022-10-12	Wed	8:00 pm		Carnegie Hall	Janine Jansen
2022-12-12	Mon	7:30 pm		Carnegie Hall	MET Chamber Ensemble
2023-01-20	Fri	1:30 pm		Boston Symphony	BSO & Nicola Benedetti
2023-02-11	Sat	8:00 pm		Carnegie Hall	MET Orchestra
2023-04-14	Fri	1:30 pm		Boston Symphony	BSO & Gautier Capuçon
2023-05-09	Tue	8:00 pm		Carnegie Hall	Helsinki Philharmonic
