name	born	died	display_name
Aaron Copeland	1900	1990	Aaron Copeland (1900–1990)
Alban Berg	1885	1935	Alban Berg (1885–1935)
Alberto Ginastera	1916	1983	Alberto Ginastera (1916–1983)
Alexander Scriabin	1871	1915	Alexander Scriabin (1871–1915)
Alfred Schnittke	1934	1998	Alfred Schnittke (1934–1998)
Alyssa Morris	1984		Alyssa Morris (1984–)
Amy Beach	1867	1944	Amy Beach (1867–1944)
Antonín Dvořák	1841	1904	Antonín Dvořák (1841–1904)
Arnold Schoenberg	1874	1951	Arnold Schoenberg (1874–1951)
Arvo Pärt	1935		Arvo Pärt (1935–)
Avner Dorman	1975		Avner Dorman (1975–)
Bela Bartók	1881	1945	Bela Bartók (1881–1945)
Benjamin Britten	1913	1976	Benjamin Britten (1913–1976)
Bohuslav Martinů	1890	1959	Bohuslav Martinů (1890–1959)
Camille Saint-Saëns	1835	1921	Camille Saint-Saëns (1835–1921)
Carl Philipp Emanuel Bach	1714	1788	Carl Philipp Emanuel Bach (1714–1788)
César Franck	1822	1890	César Franck (1822–1890)
Charles Ives	1874	1954	Charles Ives (1874–1954)
Chen Yi	1953		Chen Yi (1953–)
Chris Rogerson	1988		Chris Rogerson (1988–)
Clara Schumann	1819	1896	Clara Schumann (1819–1896)
Claude Debussy	1862	1918	Claude Debussy (1862–1918)
David Loeb	1939		David Loeb (1939–)
David Nathaniel Baker	1931	2016	David Nathaniel Baker (1931–2016)
Dietrich Buxtehude	1637	1707	Dietrich Buxtehude (1637–1707)
Dmitri Shostakovich	1906	1975	Dmitri Shostakovich (1906–1975)
Domenico Scarlatti	1685	1757	Domenico Scarlatti (1685–1757)
Dora Pejačević	1885	1923	Dora Pejačević (1885–1923)
Edvard Grieg	1843	1907	Edvard Grieg (1843–1907)
Elliott Carter	1908	2012	Elliott Carter (1908–2012)
Enrique Granados	1867	1916	Enrique Granados (1867–1916)
Erich Korngold	1897	1957	Erich Korngold (1897–1957)
Ernest Chausson	1855	1899	Ernest Chausson (1855–1899)
Eugène Ysaÿe	1858	1931	Eugène Ysaÿe (1858–1931)
Felix Mendelssohn	1809	1847	Felix Mendelssohn (1809–1847)
