key	composer	category	title	catalog	year
Adams1995a	John Adams	Violin and Piano	Road Movies		1995
Andersen1895a	Joachim Andersen	Flute and Piano	“Die Zauberflöte” from Opera Transcriptions	Op. 45	1895
Bach1712a	Johann Sebastian Bach	Solo Piano	Toccata in F-sharp minor	BWV 910	1712
Bach1717a	Johann Sebastian Bach	Solo Cello	Cello Suite No. 3 in C major	BWV 1009	1717
Bach1720a	Johann Sebastian Bach	Solo Violin	Violin Sonata in G minor	BWV 1001	1720
Bach1720b	Johann Sebastian Bach	Solo Violin	Violin Sonata in C major	BWV 1005	1720
Bach1720c	Johann Sebastian Bach	Solo Piano	Prelude from Cello Suite No. 4 (arr. A. Siloti)	BWV 1010	?
Bach1720d	Johann Sebastian Bach	Violin and Piano	Violin Sonata in E major	BWV 1016	1720
Bach1720e	Johann Sebastian Bach	Solo Violin	"Partita No. 2 in D minor, BWV 1004"	BWV 1004	1720
Bach1720f	Johann Sebastian Bach	Solo Piano	<i>Ciaccona</i> (transcription by F. Busoni)	BWV 1004:5	1720
Bach1722a	Johann Sebastian Bach	Solo Piano	Prelude and Fugue in B major	BWV 868	1722
Bach1725a	Johann Sebastian Bach	Solo Piano	French Suite No. 5	BWV 816	1725
Bach1731a	Johann Sebastian Bach	Solo Piano	Partita No. 1 in B-flat major	BWV 825	1731
Bach1735a	Johann Sebastian Bach	Solo Piano	Italian Concerto	BWV 971	1735
Bach1735b	Johann Sebastian Bach	Solo Piano	Overture in the French style	BWV 831	1735
Bach1740a	Johann Sebastian Bach	Solo Piano	Prelude and Fugue in F-sharp minor	BWV 883	1740
Bach1740b	Johann Sebastian Bach	Cello and Piano	Viola da Gamba Sonata No. 3 in G minor	BWV 1029	1740?
Bach1740c	Johann Sebastian Bach	Solo Piano	Prelude and Fugue in F major (WTC II)	BWV 880	1740
Bach1787a	Carl Philipp Emanuel Bach	Solo Piano	Fantasia in F-sharp minor	H. 300	1787
Baker1992a	David Nathaniel Baker	Piano Trio	Roots II		1992
Barber1939a	Samuel Barber	Violin and Piano	Violin Concerto	Op. 14	1939
Barber1947a	Samuel Barber	Voice and Piano	“Knoxville: Summer of 1915”	Op. 24	1947
Barber1977a	Samuel Barber	Solo Piano	Ballade	Op. 46	1977
Bartók1926a	Bela Bartók	Solo Piano	Piano Sonata	Sz. 80	1926
Bartók1926b	Bela Bartók	Solo Piano	Out of Doors	Sz. 81	1926
Bartók1944a	Bela Bartók	Solo Violin	Sonata for Solo Violin	Sz. 117	1944
Bauer1932a	Marion Bauer	Clarinet and Piano	Sonata For Clarinet And Piano		1932
Beach1893a	Amy Beach	Cello and Piano	Romance (transcribed for cello by S. DeCaprio)	Op. 23	1893
Beach1894a	Amy Beach	Solo Piano	Ballade	Op. 6	1894
Beethoven1795a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 3 in C major	Op. 2:3	1795
Beethoven1796a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 4 in E-flat major	Op. 7	1796
Beethoven1798a	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 2 in A major	Op. 12:2	1798
Beethoven1798b	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 3 in E-flat major	Op. 12:3	1798
Beethoven1798c	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 6 in F major	Op. 10:2	1798
Beethoven1799a	Ludwig van Beethoven	String Quartet	String Quartet No. 5 in A major	Op. 18:5	1799
Beethoven1801a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 15 in D major (“Pastorale”)	Op. 28	1801
Beethoven1801b	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 4 in A minor	Op. 23	1801
Beethoven1801c	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 5 in F major (“Spring”)	Op. 24	1801
Beethoven1801d	Ludwig van Beethoven	Cello and Piano	"7 Variations on “Bei Männern, welche Liebe fühlen” from <i>The Magic Flute</i>"	WoO. 46	1801
Beethoven1802a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 18 in E-flat major	Op. 31:3	1802
Beethoven1802b	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 8 in G major	Op. 30:3	1802
Beethoven1803a	Ludwig van Beethoven	Solo Piano	Six Variations on an original theme	Op. 34	1803
Beethoven1803b	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 9 in A major (“Kreutzer”)	Op. 47	1803
Beethoven1806a	Ludwig van Beethoven	String Quartet	String Quartet No. 7 in F major	Op. 59:1	1806
Beethoven1806b	Ludwig van Beethoven	String Quartet	String Quartet No. 8 in E minor	Op. 59:2	1806
Beethoven1808a	Ludwig van Beethoven	Cello and Piano	Cello Sonata No. 3 in A major	Op. 69	1808
Beethoven1808b	Ludwig van Beethoven	Piano Trio	Piano Trio in D major “Ghost”	Op. 70:1	1808
Beethoven1809a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 24 in F-sharp major	Op. 78	1809
Beethoven1811a	Ludwig van Beethoven	Piano Trio	Piano Trio in B-flat major (“Archduke”)	Op. 97	1811
Beethoven1812a	Ludwig van Beethoven	Violin and Piano	Violin Sonata No. 10 in G major	Op. 96	1812
Beethoven1816a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 28 in A major	Op. 101	1816
Beethoven1820a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 30 in E major	Op. 109	1820
Beethoven1821a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 31 in A-flat major	Op. 110	1821
Beethoven1822a	Ludwig van Beethoven	Solo Piano	Piano Sonata No. 32 in C minor	Op. 111	1822
Beethoven1823a	Ludwig van Beethoven	Solo Piano	Variations on a waltz by Anton Diabelli	Op. 120	1823
Beethoven1825a	Ludwig van Beethoven	String Quartet	String Quartet No. 15 in A minor	Op. 132	1825
Beethoven1826a	Ludwig van Beethoven	String Quartet	String Quartet No. 14 in C-sharp minor	Op. 131	1826
Berg1910a	Alban Berg	Solo Piano	Piano Sonata in B minor	Op. 1	1910
Berlioz1841a	Hector Berlioz	Viola and Piano	“Le Spectre de la Rose” from Les Nuits d’été (arr. P. Colombat)	Op. 7	1841
Bonds1	Margaret Bonds	Voice and Piano	“He’s Got the Whole World in His Hand”		
Boulanger1911a	Lili Boulanger	Violin and Piano	Nocturne		1911
Boulanger1911b	Lili Boulanger	Cello and Piano	Deux Morceaux	Op. 17	1911
Boulanger1914a	Lili Boulanger	Piano Trio	“D’un vieux jardin” from Three Pieces (arr. Merz Trio)		1914
Boulanger1914b	Nadia Boulanger	Cello and Piano	Trois pièces		1914
Brahms1853a	Johannes Brahms	Solo Piano	Piano Sonata No. 3 in F minor	Op. 5	1853
Brahms1853b	Johannes Brahms	Violin and Piano	Scherzo in C minor from the F-A-E Sonata		1853
Brahms1861a	Johannes Brahms	Solo Piano	Variations and Fugue on a Theme by Handel	Op. 24	1861
Brahms1863a	Johannes Brahms	Solo Piano	Variations on a Theme of Paganini	Op. 35	1863
Brahms1865a	Johannes Brahms	Cello and Piano	Cello Sonata No. 1 in E minor	Op. 38	1865
Brahms1873a	Johannes Brahms	String Quartet	String Quartet in A minor	Op. 51:2	1873
Brahms1874a	Johannes Brahms	Voice and Piano	Heimweh (Longing for home)	Op. 63:7–9	1874
