iso_date	concert	type	path
2017-09-09T19:30:00-04:00	krasner	Solo Piano	concerts/2017/krasner
2017-10-14T19:30:00-04:00	ekery-boudreau	Voice and Piano	concerts/2017/ekery-boudreau
2017-11-11T19:30:00-05:00	jeong	Solo Piano	concerts/2017/jeong
2017-12-09T19:30:00-05:00	lee	Solo Piano	concerts/2017/lee
2018-01-13T19:30:00-05:00	yao	Solo Piano	concerts/2018/yao
2018-02-10T19:30:00-05:00	simsive	Solo Piano	concerts/2018/simsive
2018-03-10T19:30:00-05:00	wu	Solo Piano	concerts/2018/wu
2018-04-14T19:30:00-04:00	ekery-boudreau2	Voice and Piano	concerts/2018/ekery-boudreau2
2018-05-12T19:30:00-04:00	giesbrecht	Solo Piano	concerts/2018/giesbrecht
2018-06-15T19:30:00-04:00	goodpasture	Solo Piano	concerts/2018/goodpasture
2018-09-08T19:30:00-04:00	yao-chaplikov	Piano Four-Hands	concerts/2018/yao-chaplikov
2018-10-19T19:30:00-04:00	curtis-opera	Voice and Piano	concerts/2018/curtis-opera
2018-11-10T19:30:00-05:00	strata	Solo Piano	concerts/2018/strata
2018-12-01T19:30:00-05:00	tetzloff	Solo Piano	concerts/2018/tetzloff
2018-12-22T19:30:00-05:00	orth-duo	Violin and Piano	concerts/2018/orth-duo
2019-01-12T19:30:00-05:00	huang	Solo Piano	concerts/2019/huang
2019-02-09T19:30:00-05:00	wang-xi	Violin and Piano	concerts/2019/wang-xi
2019-03-02T19:30:00-05:00	giesbrecht-korting	Piano Four-Hands	concerts/2019/giesbrecht-korting
2019-04-20T19:30:00-04:00	poon	Solo Piano	concerts/2019/poon
2019-05-11T19:30:00-04:00	tekalli-duo	Violin and Piano	concerts/2019/tekalli-duo
2019-06-07T19:30:00-04:00	orsen-garbot	Violin and Viola	concerts/2019/orsen-garbot
2019-10-12T19:30:00-04:00	horowitz-wu	Violin and Piano	concerts/2019/horowitz-wu
2019-11-09T19:30:00-05:00	tang	Solo Piano	concerts/2019/tang
2020-01-04T19:30:00-05:00	lu	Solo Piano	concerts/2020/lu
2020-01-25T19:30:00-05:00	orth	Solo Piano	concerts/2020/orth
2020-02-15T19:30:00-05:00	szokolay-simsive	Violin and Piano	concerts/2020/szokolay-simsive
2020-03-14T19:30:00-04:00	tetzloff2	Solo Piano	concerts/2020/tetzloff2
