song	line	french	english
La flûte de Pan	1	"Pour le jours des Hyacinthies, "	"For the festival of Hyacinthus,"
La flûte de Pan	2	Il m’a donné une syrinx	he gave me a syrinx
La flûte de Pan	3	"faites de roseaux bien taillés, "	"made from well-cut reeds,"
La flûte de Pan	4	"unis avec la blanche cire,"	joined with the white wax
La flûte de Pan	5	qui est douce à mes lèvres comme le miel.	that is sweet to my lips like honey.
La flûte de Pan	6		
La flûte de Pan	7	"Il m’apprend à jouer, assise sur ses genoux;"	"He is teaching me to play, as I sit on his knees;"
La flûte de Pan	8	mais je suis un peu tremblante.	but I tremble a little.
La flûte de Pan	9	"Il en joue après moi, si doucement"	"He plays it after me, so softly"
La flûte de Pan	10	que je l’entends à peine.	that I can scarcely hear it.
La flûte de Pan	11		
La flûte de Pan	12	"Nous n’avons rien à nous dire,"	"We have nothing to say,"
La flûte de Pan	13	tant nous sommes près l’un de l’autre;	so close are we from one another;
La flûte de Pan	14	"mais nos chansons veulent se répondre,"	"but our songs want to converse,"
La flûte de Pan	15	et tour à tour	and as they take turns
La flûte de Pan	16	nos bouches s’unissent sur la flûte.	our mouths are joined on the flute.
La flûte de Pan	17		
La flûte de Pan	18	"Il est tard,"	"It is late,"
La flûte de Pan	19	voici le chant des grenouilles vertes	here comes the chant of the green frogs
La flûte de Pan	20	qui commence avec la nuit.	which begins at dusk.
La flûte de Pan	21	Ma mère ne croira jamais	My mother will never believe
La flûte de Pan	22	que je suis restée si longtemps	that I spent so long
La flûte de Pan	23	à chercher ma ceinture perdue.	searching for my lost waistband.
La chevelure	1	Il m'a dit:	He told me:
La chevelure	2	"Cette nuit, j'ai rêvé."	Last night I had a dream.
La chevelure	3	J'avais ta chevelure autour de mon cou.	"Your hair was around my neck,"
La chevelure	4	J'avais tes cheveux comme un collier noir	it was like a black necklace
La chevelure	5	autour de ma nuque et sur ma poitrine.	round my nape and on my chest.
La chevelure	6		
La chevelure	7	"Je les caressais, et c'étaient les miens;"	"I was stroking your hair, and it was my own;"
La chevelure	8	"et nous étions liés pour toujours ainsi,"	"thus the same tresses joined us forever,"
La chevelure	9	"par la même chevelure, la bouche sur la bouche,"	"with our mouths touching,"
La chevelure	10	ainsi que deux lauriers n'ont souvent qu'une racine.	just as two laurels often have only one root.
La chevelure	11		
La chevelure	12	"Et peu à peu, il m'a semblé,"	"And gradually I sensed,"
La chevelure	13	"tant nos membres étaient confondus,"	"since our limbs were so entwined,"
La chevelure	14	"que je devenais toi-même,"	that I was becoming you
La chevelure	15	ou que tu entrais en moi comme mon songe.	and you were entering me like my dream.
La chevelure	16		
La chevelure	17	"Quand il eut achevé,"	"When he'd finished,"
La chevelure	18	"il mit doucement ses mains sur mes épaules,"	"he gently put his hands on my shoulders,"
La chevelure	19	"et il me regarda d'un regard si tendre,"	and gazed at me so tenderly
La chevelure	20	que je baissai les yeux avec un frisson.	"that I lowered my eyes, quivering."
Le tombeau des Naïades	1	"Le long du bois couvert de givre, je marchais;"	I was walking along in the frost-covered woods;
Le tombeau des Naïades	2	Mes cheveux devant ma bouche	in front of my mouth
Le tombeau des Naïades	3	"Se fleurissaient de petits glaçons,"	"my hair blossomed in tiny icicles,"
Le tombeau des Naïades	4	Et mes sandales étaient lourdes	and my sandals were heavy
Le tombeau des Naïades	5	De neige fangeuse et tassée.	with muddy caked snow.
Le tombeau des Naïades	6		
Le tombeau des Naïades	7	Il me dit: “Que cherches-tu?”	He asked: What are you looking for?
Le tombeau des Naïades	8	Je suis la trace du satyre.	I'm following the tracks of the satyr.
Le tombeau des Naïades	9	Ses petits pas fourchus alternent	His little cloven hoofprints alternate
Le tombeau des Naïades	10	Comme des trous dans un manteau blanc.	like holes in a white cloak.
Le tombeau des Naïades	11		
Le tombeau des Naïades	12	Il me dit: “Les satyres sont morts.	He said: The satyrs are dead.
Le tombeau des Naïades	13	“Les satyres et les nymphes aussi.	"The satyrs are dead, and the nymphs too."
Le tombeau des Naïades	14	"Depuis trente ans,"	"In thirty years,"
Le tombeau des Naïades	15	il n’a pas fait un hiver aussi terrible.	there has not been such a terrible winter.
Le tombeau des Naïades	16	La trace que tu vois est celle d’un bouc.	That's the trail of a he-goat.
Le tombeau des Naïades	17	"Mais restons ici, où est leur tombeau.”"	"But let's pause here, where their tomb is."
Le tombeau des Naïades	18		
Le tombeau des Naïades	19	Et avec le fer de sa houe il cassa la glace	With his hoe he broke the ice of the spring 
Le tombeau des Naïades	20	De la source ou jadis riaient les naïades.	where the water-nymphs used to laugh.
Le tombeau des Naïades	21	"Il prenait de grands morceaux froids,"	"There he was, picking up large cold slabs of ice,"
Le tombeau des Naïades	22	"Et les soulevant vers le ciel pâle,"	"lifting them toward the pale sky,"
Le tombeau des Naïades	23	Il regardait au travers.	and peering through them.
