type	name	caption	source	website
audio	conducting-conversations-211017.m4a	"WCRI-FM studio, 17 October 2021"		
audio	conducting-conversations-220424.m4a	"WCRI-FM studio, 22 April 2022"		
audio	debussy-chansons.m4a	"Isabella Stewart Gardner Museum, 2008"		
audio	liszt-les-jeux-d'eaux.m4a	Liszt: Les Jeux d’eaux à la Villa d’Este		
audio	schubert-d780.m4a	"Schubert: Six Moments Musicaux, D. 780"		
audio	WMIGBeethovenKreutzer0116.m4a	"Merkin Concert Hall, November 2015"		
image	abeo-quartet.jpg	Rebecca Benjamin ∙ Brian Gadbow ∙ James Kang ∙ Njioma Grevious	Abi Kralik	https://www.abigelkralikphotography.com
image	abstract-love.png		Steve Mueller	http://www.planetofsuccess.com/blog/
image	albert-cano-smit.jpg		Wenqi Ke	
image	albert-cano-smit.png	"Carnegie Hall, 15 October 2019"		
image	amanda-ekery.png	"Amanda Ekery, October 2017"		
image	an-tran-2.jpg	"All Saints' Church in Ashmont, 13 March 2022"	Josh Reynolds for the Boston Globe 	
image	ariel-horowitz.png	"Ariel Horowitz, October 2019"		
image	avery-gagliano.jpg		Chris Lee	https://www.chrisleephotographer.com
image	avery-gagliano.png	Avery Gagliano	Chris Lee	https://www.chrisleephotographer.com
image	balourdet-quartet.jpg	Angela Bae ∙ Justin DeFilippis ∙ Benjamin Zannoni ∙ Russell Houston	Stephen Barton	https://stephenabarton.com/photography
image	balourdet-quartet.png	Justin DeFilippis ∙ Russell Houston ∙ Angela Bae ∙ Benjamin Zannoni	Kevin W. Condon	https://weirdhours.com/contact
image	benjamin-krasner.png	"Benjamin Krasner, September 2017"		
image	bennewitz-quartet.png	"Jakub Fišer, violin ∙ Štěpán Ježek, violin ∙ Jiří Pinkas, viola ∙ Štěpán Doležal, cello"	Kamil Ghais	http://www.kamilghais.cz
image	callisto-quartet.jpg		Mike Grittani	https://www.grittanicreative.com/about
image	callisto-quartet.png	Eva Kennedy ∙ Cameron Daly ∙ Hannah Moses ∙ Gregory Lewis	Titilayo Ayangade	https://titilayoandco.com/
image	color-elevation.png	Conceptual drawing of Maynard residence	Steven Baczek	https://stevenbaczekarchitect.com/info/
image	concert-venue.jpg	Venue on a summer evening	Seth Jacobson	https://www.sethphotos.com
image	concert-venue.png	Venue on a summer afternoon		
image	dina-vainshtein.jpg		Susan Wilson	http://susanwilsonphoto.com/
image	evan-gray.png	"Curtis Institute of Music, January 2022"		
image	evren-ozel.png		Geneva Lewis	
image	filippo-gorini.jpg		Simon Pauly	https://simonpauly.com
image	filippo-gorini.png		Marco Borggreve	https://www.marcoborggreve.com
image	geneva-lewis.jpg		Motti Fang-Bentov	
image	geneva-lewis.png	Geneva Lewis	Donald van Hasselt	https://www.donaldvanhasselt.nl
image	janice-lu.jpg		Yiwei Lee	
image	janice-lu.png		Yiwei Lee	
image	julia-yang.jpg		Vicky Lee	
image	julia-yang.png		Carlin Ma	
image	kyle-orth.png	"Kyle Orth, January 2020"		
image	lea-luboshutz.png	"Lea Luboshutz ∙ Academy of Music, Philadelphia (1945)"		
image	lysander-trio.jpg	Itamar Zorman ∙ Liza Stepanova ∙ Michael Katz	Jiyang Chen	
image	maynard-passive-house.jpg	"Maynard Passive House, August 2017"	Craig Maynard	
image	maynard-passive-house.png	"Maynard Passive House, September 2021"	Craig Maynard	
image	merz-trio.jpg	Julia Yang ∙ Lee Dionne ∙ Brigid Coleridge		
image	merz-trio.png	Merz Trio	Nile Hawyer	https://nilescottstudios.com
image	mika-sasaki.jpg		Arthur Moeller	http://www.arthurmoeller.com
image	orsen-colombat.png	Daniel Orsen and Pierre-Nicolas Colombat		
image	performance-space.png	Our performance space		
image	reed-tetzloff.png	"Reed Tetzloff, March 2020"		
image	sam-decaprio.png	Samuel DeCaprio	Abi Kralik	https://www.abigelkralikphotography.com
image	sophia-szokolay.png		Lauren Park	https://www.laurenparkphotos.com/portfolio/
image	sophie-wang.png	Sophie Wang	Boston Symphony Orchestra	
image	stephanie-tang.png	Stephanie Tang		
image	suliman-tekalli.png	"Suliman & Jamila Tekalli, May 2019"		
image	terra-quartet.jpg	Ramón Carrero Martínez ∙ Harriet Langley ∙ Audrey Chen ∙ Amelia Dietrich		
image	thomas-weaver.jpg		Stratton McCrady	
image	thomas-weaver.png		Stratton McCrady	
image	tiffany-poon.png	"Tiffany Poon, April 2019"	Ken Turner	
image	trio-gaia.jpg	Andrew Barnwell ∙ Grant Houston ∙ Yi-Mei Templeman	Nile Hawyer	https://nilescottstudios.com
image	trio-gaia.png	Trio Gaia	Nile Hawyer	https://nilescottstudios.com
image	view-from-dock.png		Alesia Sadosky	
video	audrey-chen.mp4	"Mendelssohn Cello Sonata, Op. 58 ∙ Audrey Chen & Xiaohui Yang"	"Ravinia Steans Music Institute, 13 July 2019"	
video	aus-italien.mp4	"Grosse Musikvereinssaal, Vienna Musikverein, 1986"		
video	balourdet-quartet.mp4	"Beethoven String Quartet in E minor, Op. 59/2 – I. Allegro"	2019 Nielsen International Chamber Music Competition	
video	barber-concerto.mov	"Thayer Hall, Los Angeles, 18 December 2011"		
video	beethoven-septet.mp4	"Royal Concertgebouw Amsterdam, 9 November 2020"		
video	chopin-ballade.mp4	"Ballade No. 1 in G Minor, Op. 23"	18th International Chopin Competition	https://chopin2020.pl/en/
video	christmas-cantata.mp4	"Grote Kerk in Naarden, Netherlands, 13 December 2018"		
video	debussy-nocturnes.mp4	"Salzburg Grosses Festspielhaus, 30 August 1992"	EuroArts	https://www.euroarts.com
video	enigma-variations.mp4	"Warsaw Philharmonic Concert Hall, 11 November 2017"		
video	four-last-songs.mp4	"Glasgow Royal Concert Hall, 28 May 2016"		
video	grace-clifford.mp4	"Field Hall, Curtis Institute of Music, 23 March 2019"		
video	john-ferrillo.mp4			
video	jupiter-symphony.mp4	"Kölner Philharmonie, 1 October 2019"		
video	kirov-nutcracker.mp4	"Mariinsky Theatre, St. Petersburg"		
video	la-mer.mp4	"Orchestra Hall, 17 November 2015"		
video	la-valse.mp4	"Konserthuset Stockholm, 24 May 2017"		
video	last-of-the-titans.mp4	"Festival de La Roque d'Anthéron, 2015"		
video	mikael-eliasen.mp4			
video	mozart-concerto.mp4	"Alte Oper Frankfurt, 13 December 2019"		
video	paganini-rhapsody.mp4	"Royal Albert Hall, 12 July 2013"		
video	rhapsody-in-blue.mp4	"WNET New York, August 2014"		
video	romeo-and-juliet.mp4	"Royal Concertgebouw Amsterdam, 1 September 2019"		
video	schubert-fantasy.mp4	"Schubert Fantasy in C major, D. 934 ∙ Benjamin Beilman & Juho Pohjonen"	Chamber Music Society of Lincoln Center	https://www.chambermusicsociety.org
video	schubert-lieder.mp4	"Sarah Shafer, soprano ∙ Kuok-Wai Lio, piano"	Curtis Institute of Music	
video	schumann-piano-quartet.mp4	"Daishin Kashimoto, violin ∙ Gilad Karni, viola ∙ Sol Gabetta, cello ∙ Nelson Goerner, piano"	"Solsberg Festival ∙ Klosterkirche Olsberg, 23 June 2018"	https://solsberg.ch
video	sibelius-second.mp4	"Alte Oper Frankfurt, 17 May 2019"		
video	stephen-kim.mp4	Stephen Kim & Samuel Parent perform the first movement of Brahms Violin Sonata No. 3	"2019 Queen Elisabeth Competition, Brussels"	
video	stravinsky-firebird.mp4	"Roy Thomson Hall, 19 September 2017"	TSO Canada Mosaic: A Canada 150 Signature Project	
video	symphonic-dances.mp4	"Royal Concertgebouw Amsterdam, 18 December 2011"		
video	tchaikovsky-fifth.mp4	"Konserthuset Stockholm, 18 February 2021"		
