category	key	composer	title	catalog	date	path
Solo Piano	Bach1712a	Johann Sebastian Bach	Toccata in F-sharp minor	BWV 910	2017-09-09T19:30:00-04:00	concerts/2017/krasner
Solo Piano	Bach1720c	Johann Sebastian Bach	Prelude from Cello Suite No. 4 (arr. A. Siloti)	BWV 1010	2021-05-15T15:00:00-04:00	concerts/2021/gabrielian
Solo Piano	Bach1720f	Johann Sebastian Bach	<i>Ciaccona</i> (transcription by F. Busoni)	BWV 1004:5	2021-05-01T15:00:00-04:00	concerts/2021/bartosik
Solo Piano	Bach1725a	Johann Sebastian Bach	French Suite No. 5	BWV 816	2019-04-20T19:30:00-04:00	concerts/2019/poon
Solo Piano	Bach1731a	Johann Sebastian Bach	Partita No. 1 in B-flat major	BWV 825	2018-01-13T19:30:00-05:00	concerts/2018/yao
Solo Piano	Bach1731a	Johann Sebastian Bach	Partita No. 1 in B-flat major	BWV 825	2021-11-06T15:00:00-04:00	concerts/2021/yao2
Solo Piano	Bach1735a	Johann Sebastian Bach	Italian Concerto	BWV 971	2018-05-12T19:30:00-04:00	concerts/2018/giesbrecht
Solo Piano	Bach1735b	Johann Sebastian Bach	Overture in the French style	BWV 831	2019-01-12T19:30:00-05:00	concerts/2019/huang
Solo Piano	Bach1740a	Johann Sebastian Bach	Prelude and Fugue in F-sharp minor	BWV 883	2017-11-11T19:30:00-05:00	concerts/2017/jeong
Solo Piano	Bach1740c	Johann Sebastian Bach	Prelude and Fugue in F major (WTC II)	BWV 880	2022-02-12T14:00:00-05:00	concerts/2022/ozel
Solo Piano	Bach1787a	Carl Philipp Emanuel Bach	Fantasia in F-sharp minor	H. 300	2018-06-15T19:30:00-04:00	concerts/2018/goodpasture
Solo Piano	Barber1977a	Samuel Barber	Ballade	Op. 46	2018-06-15T19:30:00-04:00	concerts/2018/goodpasture
Solo Piano	Bartók1926a	Bela Bartók	Piano Sonata	Sz. 80	2018-01-13T19:30:00-05:00	concerts/2018/yao
Solo Piano	Bartók1926b	Bela Bartók	Out of Doors	Sz. 81	2022-12-03T14:00:00-05:00	concerts/2022/ozel2
Solo Piano	Beethoven1796a	Ludwig van Beethoven	Piano Sonata No. 4 in E-flat major	Op. 7	2017-11-11T19:30:00-05:00	concerts/2017/jeong
Solo Piano	Beethoven1798c	Ludwig van Beethoven	Piano Sonata No. 6 in F major	Op. 10:2	2022-08-13T16:00:00-04:00	concerts/2022/tang2
Solo Piano	Beethoven1801a	Ludwig van Beethoven	Piano Sonata No. 15 in D major (“Pastorale”)	Op. 28	2018-11-10T19:30:00-05:00	concerts/2018/strata
Solo Piano	Beethoven1802a	Ludwig van Beethoven	Piano Sonata No. 18 in E-flat major	Op. 31:3	2021-04-03T15:00:00-04:00	concerts/2021/mak
Solo Piano	Beethoven1803a	Ludwig van Beethoven	Six Variations on an original theme	Op. 34	2020-03-14T19:30:00-04:00	concerts/2020/tetzloff2
Solo Piano	Beethoven1809a	Ludwig van Beethoven	Piano Sonata No. 24 in F-sharp major	Op. 78	2020-01-04T19:30:00-05:00	concerts/2020/lu
Solo Piano	Beethoven1816a	Ludwig van Beethoven	Piano Sonata No. 28 in A major	Op. 101	2023-02-11T14:00:00-05:00	concerts/2023/bass
Solo Piano	Beethoven1816a	Ludwig van Beethoven	Piano Sonata No. 28 in A major	Op. 101	2019-11-09T19:30:00-05:00	concerts/2019/tang
Solo Piano	Beethoven1820a	Ludwig van Beethoven	Piano Sonata No. 30 in E major	Op. 109	2022-06-26T15:00:00-04:00	concerts/2022/gagliano
Solo Piano	Beethoven1820a	Ludwig van Beethoven	Piano Sonata No. 30 in E major	Op. 109	2021-11-06T15:00:00-04:00	concerts/2021/yao2
Solo Piano	Beethoven1821a	Ludwig van Beethoven	Piano Sonata No. 31 in A-flat major	Op. 110	2021-06-19T15:00:00-04:00	concerts/2021/qian
Solo Piano	Beethoven1822a	Ludwig van Beethoven	Piano Sonata No. 32 in C minor	Op. 111	2022-12-03T14:00:00-05:00	concerts/2022/ozel2
Solo Piano	Beethoven1823a	Ludwig van Beethoven	Variations on a waltz by Anton Diabelli	Op. 120	2019-01-12T19:30:00-05:00	concerts/2019/huang
Solo Piano	Brahms1853a	Johannes Brahms	Piano Sonata No. 3 in F minor	Op. 5	2018-06-15T19:30:00-04:00	concerts/2018/goodpasture
Solo Piano	Brahms1861a	Johannes Brahms	Variations and Fugue on a Theme by Handel	Op. 24	2017-09-09T19:30:00-04:00	concerts/2017/krasner
Solo Piano	Brahms1861a	Johannes Brahms	Variations and Fugue on a Theme by Handel	Op. 24	2021-04-17T15:00:00-04:00	concerts/2021/li
Solo Piano	Brahms1863a	Johannes Brahms	Variations on a Theme of Paganini	Op. 35	2021-11-06T15:00:00-04:00	concerts/2021/yao2
Solo Piano	Brahms1892a	Johannes Brahms	Fantasies	Op. 116	2020-03-14T19:30:00-04:00	concerts/2020/tetzloff2
Solo Piano	Brahms1893a	Johannes Brahms	Six Pieces for Piano	Op. 118	2018-12-01T19:30:00-05:00	concerts/2018/tetzloff
Solo Piano	Chopin1827a	Frédéric Chopin	Nocturne	Op. 72:1	2019-04-20T19:30:00-04:00	concerts/2019/poon
Solo Piano	Chopin1831a	Frédéric Chopin	Waltz in A minor	Op. 34:2	2021-10-16T15:00:00-04:00	concerts/2021/bartosik2
Solo Piano	Chopin1834a	Frédéric Chopin	Andante spianato & Grande polonaise brillante	Op. 22	2021-10-16T15:00:00-04:00	concerts/2021/bartosik2
Solo Piano	Chopin1835a	Frédéric Chopin	Ballade No. 1 in G minor	Op. 23	2023-06-03T15:00:00-04:00	concerts/2023/lio
Solo Piano	Chopin1836a	Frédéric Chopin	Nocturne in C-sharp minor	Op. 27:1	2021-05-15T15:00:00-04:00	concerts/2021/gabrielian
Solo Piano	Chopin1836b	Frédéric Chopin	Nocturne in D-flat major	Op. 27:2	2021-09-11T15:00:00-04:00	concerts/2021/park-vardenega
Solo Piano	Chopin1837a	Frédéric Chopin	Scherzo in B-flat minor	Op. 32	2017-11-11T19:30:00-05:00	concerts/2017/jeong
Solo Piano	Chopin1839a	Frédéric Chopin	Scherzo in C-sharp minor	Op. 39	2021-05-15T15:00:00-04:00	concerts/2021/gabrielian
Solo Piano	Chopin1839a	Frédéric Chopin	Scherzo in C-sharp minor	Op. 39	2017-11-11T19:30:00-05:00	concerts/2017/jeong
Solo Piano	Chopin1839a	Frédéric Chopin	Scherzo in C-sharp minor	Op. 39	2018-11-10T19:30:00-05:00	concerts/2018/strata
Solo Piano	Chopin1839b	Frédéric Chopin	Preludes (1-12)	Op. 28	2018-05-12T19:30:00-04:00	concerts/2018/giesbrecht
Solo Piano	Chopin1839d	Frédéric Chopin	Ballade No. 2 in F major	Op. 38	2023-02-11T14:00:00-05:00	concerts/2023/bass
Solo Piano	Chopin1841a	Frédéric Chopin	Nocturne	Op. 48:1	2019-04-20T19:30:00-04:00	concerts/2019/poon
Solo Piano	Chopin1841b	Frédéric Chopin	Fantaisie in F minor	Op. 49	2019-11-09T19:30:00-05:00	concerts/2019/tang
Solo Piano	Chopin1842a	Frédéric Chopin	Ballade No. 4 in F minor	Op. 52	2017-12-09T19:30:00-05:00	concerts/2017/lee-choi
Solo Piano	Chopin1842a	Frédéric Chopin	Ballade No. 4 in F minor	Op. 52	2023-06-03T15:00:00-04:00	concerts/2023/lio
Solo Piano	Chopin1842a	Frédéric Chopin	Ballade No. 4 in F minor	Op. 52	2019-04-20T19:30:00-04:00	concerts/2019/poon
Solo Piano	Chopin1844a	Frédéric Chopin	Piano Sonata No. 3	Op. 58	2018-03-10T19:30:00-05:00	concerts/2018/wu
Solo Piano	Chopin1844b	Frédéric Chopin	Mazurkas	Op. 56	2022-02-12T14:00:00-05:00	concerts/2022/ozel
Solo Piano	Chopin1846a	Frédéric Chopin	Barcarolle in F-sharp major	Op. 60	2022-06-26T15:00:00-04:00	concerts/2022/gagliano
Solo Piano	Chopin1846a	Frédéric Chopin	Barcarolle in F-sharp major	Op. 60	2019-04-20T19:30:00-04:00	concerts/2019/poon
Solo Piano	Chopin1846b	Frédéric Chopin	Polonaise-Fantaisie in A-flat major	Op. 61	2021-05-01T15:00:00-04:00	concerts/2021/bartosik
Solo Piano	Chopin1846b	Frédéric Chopin	Polonaise-Fantaisie in A-flat major	Op. 61	2022-08-13T16:00:00-04:00	concerts/2022/tang2
Solo Piano	Copeland1921a	Aaron Copeland	Three Moods		2021-06-19T15:00:00-04:00	concerts/2021/qian
Solo Piano	Debussy1892a	Claude Debussy	Nocturne		2018-06-15T19:30:00-04:00	concerts/2018/goodpasture
Solo Piano	Debussy1903a	Claude Debussy	Estampes		2021-05-01T15:00:00-04:00	concerts/2021/bartosik
Solo Piano	Debussy1904a	Claude Debussy	Masques	L. 105	2021-10-16T15:00:00-04:00	concerts/2021/bartosik2
Solo Piano	Debussy1904b	Claude Debussy	L’isle joyeuse	L. 106	2023-02-11T14:00:00-05:00	concerts/2023/bass
Solo Piano	Debussy1907a	Claude Debussy	Images: Book 1		2021-04-17T15:00:00-04:00	concerts/2021/li
Solo Piano	Debussy1907a	Claude Debussy	Images: Book 1		2018-03-10T19:30:00-05:00	concerts/2018/wu
Solo Piano	Debussy1907b	Claude Debussy	Images: Book 2		2018-03-10T19:30:00-05:00	concerts/2018/wu
Solo Piano	Debussy1907b	Claude Debussy	Images: Book 2		2021-11-06T15:00:00-04:00	concerts/2021/yao2
Solo Piano	Debussy1915b	Claude Debussy	Étude XI. “Pour les arpèges composés”	L. 136	2021-10-16T15:00:00-04:00	concerts/2021/bartosik2
Solo Piano	Fauré1894a	Gabriel Fauré	Nocturne no. 6 in D flat major	Op. 63	2018-12-01T19:30:00-05:00	concerts/2018/tetzloff
Solo Piano	Franck1884a	César Franck	“Prélude, Chorale, et Fugue”	FWV 21	2018-02-10T19:30:00-05:00	concerts/2018/simsive
Solo Piano	Franck1884a	César Franck	“Prélude, Chorale, et Fugue”	FWV 21	2018-12-01T19:30:00-05:00	concerts/2018/tetzloff
Solo Piano	Frazin2022a	Howard Frazin	Overture to the Moon and Stars		2023-02-11T14:00:00-05:00	concerts/2023/bass
Solo Piano	George2014a	Whitney George	Selections from The Extinction Series		2021-05-01T15:00:00-04:00	concerts/2021/bartosik
Solo Piano	Ginasetera1952a	Alberto Ginastera	Piano Sonata No. 1	Op. 22	2021-05-01T15:00:00-04:00	concerts/2021/bartosik
Solo Piano	Granados1911a	Enrique Granados	“Quejas o la maja y el ruisenor” from Goyescas		2017-09-09T19:30:00-04:00	concerts/2017/krasner
Solo Piano	Haydn1768a	Franz Joseph Haydn	Keyboard Sonata in A-flat major	Hob. XVI:46	2022-01-22T14:00:00-05:00	concerts/2022/mak2
Solo Piano	Haydn1790a	Franz Joseph Haydn	Keyboard Sonata in E-flat major	Hob. XVI:49	2021-05-15T15:00:00-04:00	concerts/2021/gabrielian
Solo Piano	Haydn1794a	Franz Joseph Haydn	Keyboard Sonata in E-flat major	Hob. XVI:52	2019-04-20T19:30:00-04:00	concerts/2019/poon
Solo Piano	Ives1915a	Charles Ives	Piano Sonata No. 2: III. “The Alcotts”		2021-05-01T15:00:00-04:00	concerts/2021/bartosik
Solo Piano	Janáček1906a	Leoš Janáček	Piano Sonata 1.X.1905 “From the Street”		2022-10-08T15:00:00-04:00	concerts/2022/wang
Solo Piano	Janáček1908a	Leoš Janáček	On an Overgrown Path: Book I (selections)		2021-09-11T15:00:00-04:00	concerts/2021/park-vardenega
Solo Piano	Janáček1912a	Leoš Janáček	In the Mists		2020-03-14T19:30:00-04:00	concerts/2020/tetzloff2
Solo Piano	Lash2014a	Han Lash	Liebesbrief an Schumann		2023-03-04T14:00:00-05:00	concerts/2023/spiegelberg-simsive
Solo Piano	León1987a	Tania León	Rituál		2023-03-04T14:00:00-05:00	concerts/2023/spiegelberg-simsive
Solo Piano	Liszt1849a	Franz Liszt	Sonetto No. 123 del Petrarca	S. 161:6	2023-02-11T14:00:00-05:00	concerts/2023/bass
Solo Piano	Liszt1849b	Franz Liszt	Fantasia quasi Sonata “Après une lecture du Dante”	S. 161:7	2023-02-11T14:00:00-05:00	concerts/2023/bass
Solo Piano	Liszt1849b	Franz Liszt	Fantasia quasi Sonata “Après une lecture du Dante”	S. 161:7	2018-11-10T19:30:00-05:00	concerts/2018/strata
Solo Piano	Liszt1859a	Franz Liszt	Paraphrase de concert sur Rigoletto	S. 434	2021-04-17T15:00:00-04:00	concerts/2021/li
Solo Piano	Liszt1867a	Franz Liszt	Isoldes Liebestod (Schlußszene aus Tristan und Isolde)		2020-03-14T19:30:00-04:00	concerts/2020/tetzloff2
Solo Piano	Liszt1877a	Franz Liszt	Les Jeux d’eaux à la Villa d’Este		2022-12-03T14:00:00-05:00	concerts/2022/ozel2
Solo Piano	Loeb2019a	David Loeb	The Invisible River		2022-08-27T16:00:00-04:00	concerts/2022/meinrenken-weaver
